 Enemy , Name , Damage (P/V/G) , Health , Nothing , Small Energy , Big Energy , Missile , Super , Power Bomb ," Notes
"
https://wiki.supermetroid.run/images/5/5d/Beetom.gif,Beetom, 10/5/2 , 50 , 0 , 0.4 , 0 , 0 , 0 , 101.6 ," Damages every 64 frames
"
https://wiki.supermetroid.run/images/0/09/Boulder.gif,Boulder, 40/20/10 , 20 , 102 , 0 , 0 , 0 , 0 , 0 ,"
"
https://wiki.supermetroid.run/images/6/61/Boyon.gif,Boyon,10/5/2 , 1000 , 52 , 8 , 4 , 34 , 2 , 2 ,"
"
https://wiki.supermetroid.run/images/4/4a/Cacatac.gif,Cacatac, 20/10/5 , 60 , 0 , 0 , 0.4 , 0 , 101.6 , 0 ,"
"
https://wiki.supermetroid.run/images/5/57/Fireflea.gif,Fireflea, 4/2/1 , 20 , 0 , 0 , 0.4 , 0 , 0 , 101.6 ,"
"
https://wiki.supermetroid.run/images/b/b1/Geega.gif,Geega, 10/5/2 , 10 , 2 , 24 , 24 , 24 , 24 , 4 ,"
"
https://wiki.supermetroid.run/images/4/4d/Kihunter_%28green%29.gif,Kihunter, 20/10/5 , 60 , 30 , 20 , 12 , 32 , 4 , 4 ,"
"
https://wiki.supermetroid.run/images/5/5e/Metaree.gif,Metaree, 50/25/12 , 50 , 24 , 32 , 10 , 32 , 2 , 2 ,"
"
https://wiki.supermetroid.run/images/1/11/Mini-Kraid.gif,Mini-Kraid, 100/50/25 , 400 , 0 , 0 , 0.4 , 0 , 101.6 , 0 ,"
"
https://wiki.supermetroid.run/images/1/1f/Puyo.gif,Puyo, 60/30/15 , 100 , 2 , 24 , 24 , 24 , 4 , 24 ,"
"
https://wiki.supermetroid.run/images/9/90/Reo.gif,Reo, 15/7/3 , 45 , 16 , 12 , 32 , 34 , 4 , 4 ,"
"
https://wiki.supermetroid.run/images/c/cf/Ripper.gif,Ripper, 5/2/1 , 200 , 26 , 32 , 8 , 32 , 2 , 2 ,"
"
https://wiki.supermetroid.run/images/a/a2/Ripper_2_%28red%29.gif,Ripper 2, 10/5/2 , 200 , 0 , 0 , 0.4 , 0 , 101.6 , 0 ,"
"
https://wiki.supermetroid.run/images/7/73/Skree.gif,Skree, 10/5/2 , 15 , 54.8 , 8 , 1.2 , 34 , 2 , 2 ,"
"
https://wiki.supermetroid.run/images/b/b7/Skultera.gif,Skultera, 80/40/20 , 300 , 28 , 32 , 12 , 28 , 2 , 0 ,"
"
https://wiki.supermetroid.run/images/6/6c/Sidehopper.gif,Sidehopper, 80/40/20 , 320 , 40 , 8 , 8 , 22 , 22 , 2 ,"
"
https://wiki.supermetroid.run/images/3/3d/Small_Sidehopper.gif,Sm. Sidehopper, 20/10/5 , 60 , 40 , 8 , 16 , 34 , 2 , 2 ,"
"
https://wiki.supermetroid.run/images/7/73/Space_Pirate_%28green%29.gif,Space Pirate (standing), 20/10/5 , 90 , 18 , 20 , 12 , 40 , 8 , 4 ,"
"
https://wiki.supermetroid.run/images/b/b3/Waver.gif,Waver, 10/5/2 , 30 , 2 , 24 , 24 , 24 , 24 , 4 ,"
"
https://wiki.supermetroid.run/images/1/1d/Yapping_Maw.gif,Yapping Maw, 0 , 20 , 2 , 32 , 32 , 32 , 2 , 2 ,"
"
https://wiki.supermetroid.run/images/9/9d/Zeb.gif,Zeb, 6/3/1 , 9 , 2 , 24 , 24 , 24 , 24 , 4 ,"
"
https://wiki.supermetroid.run/images/1/18/Zebbo.gif,Zebbo, 20/10/5 , 30 , 0 , 0 , 56 , 4 , 40 , 2 ,"
"
https://wiki.supermetroid.run/images/b/b5/Zeela.gif,Zeela, 10/5/2 , 30 , 0 , 22 , 10 , 50 , 20 , 0 ,"
"
https://wiki.supermetroid.run/images/e/e4/Zero.gif,Zero, 40/20/10 , 50 , 0 , 0.4 , 0 , 0 , 0 , 101.6 ,"
"
