 Enemy , Name , Damage (P/V/G) , Health , Nothing , Small Energy , Big Energy , Missile , Super , Power Bomb ," Notes
"
https://wiki.supermetroid.run/images/5/53/Alcoon.gif,Alcoon, 50/25/12 , 200 , 0 , 0.4 , 0 , 0 , 0 , 101.6 ,"
"
https://wiki.supermetroid.run/images/5/5d/Beetom.gif,Beetom, 10/5/2 , 50 , 0 , 0.4 , 0 , 0 , 0 , 101.6 ," Damages every 64 frames
"
https://wiki.supermetroid.run/images/6/61/Boyon.gif,Boyon, 10/5/2 , 1000 , 52 , 8 , 4 , 34 , 2 , 2 ,"
"
https://wiki.supermetroid.run/images/1/10/Choot.gif,Choot, 80/40/20 , 100 , 2 , 24 , 24 , 24 , 24 , 4 ,"
"
https://wiki.supermetroid.run/images/1/10/Geemer_%28blue%29.gif,Geemer, 5/2/1 , 15 , 0 , 22 , 10 , 68 , 2 , 0 ,"
"
https://wiki.supermetroid.run/images/7/71/Geemer_%28grey%29.gif,Geemer, 5/2/1 , 15 , 40 , 52 , 8 , 0 , 0 , 2 ,"
"
https://wiki.supermetroid.run/images/a/a3/Geemer_%28orange%29.gif,Geemer, 5/2/1 , 15 , 40 , 52 , 8 , 0 , 0 , 2 ,"
"
https://wiki.supermetroid.run/images/3/3b/Kago.gif,Kago, 0 , 1600 , 2 , 20 , 36 , 28 , 8 , 8 ,kago
https://wiki.supermetroid.run/images/1/17/Kamer.gif,Kamer, 0 , 20 , 2 , 32 , 32 , 32 , 2 , 2 ,"
"
https://wiki.supermetroid.run/images/4/4d/Kihunter_%28green%29.gif,Kihunter, 20/10/5 , 60 , 30 , 20 , 12 , 32 , 4 , 4 ,"
"
https://wiki.supermetroid.run/images/f/f1/Mellow.gif,Mellow, 8/4/2 , 9 , 28 , 12 , 28 , 32 , 2 , 0 ,"
"
https://wiki.supermetroid.run/images/9/90/Reo.gif,Reo, 15/7/3 , 45 , 16 , 12 , 32 , 34 , 4 , 4 ,"
"
https://wiki.supermetroid.run/images/c/cf/Ripper.gif,Ripper, 5/2/1 , 200 , 26 , 32 , 8 , 32 , 2 , 2 ,"
"
https://wiki.supermetroid.run/images/9/96/Ripper_2_%28green%29.gif,Ripper 2, 10/5/2 , 200 , 0 , 0 , 0.4 , 0 , 101.6 , 0 ,"
"
https://wiki.supermetroid.run/images/c/c9/Sciser.gif,Sciser, 120/60/30 , 200 , 0 , 0.4 , 40 , 0 , 0 , 61.6 ,"
"
https://wiki.supermetroid.run/images/7/73/Skree.gif,Skree, 10/5/2 , 15 , 54.8 , 8 , 1.2 , 34 , 2 , 2 ,"
"
https://wiki.supermetroid.run/images/b/b7/Skultera.gif,Skultera, 80/40/20 , 300 , 28 , 32 , 12 , 28 , 2 , 0 ,"
"
https://wiki.supermetroid.run/images/4/4f/Space_Pirate.gif,Space Pirate (standing), 15/7/3 , 20 , 0 , 20 , 48 , 32 , 2 , 0 ,"
"
https://wiki.supermetroid.run/images/7/73/Space_Pirate_%28green%29.gif,Space Pirate (standing), 20/10/5 , 90 , 18 , 20 , 12 , 40 , 8 , 4 ,"
"
https://wiki.supermetroid.run/images/8/89/Space_Pirate_%2Awall%2A.gif,Space Pirate (wall), 15/7/3 , 20 , 0.4 , 4 , 18 , 78.8 , 0.4 , 0.4 ,"
"
https://wiki.supermetroid.run/images/c/c2/Tripper.gif,Tripper, 0 , 20 , 2 , 32 , 32 , 32 , 2 , 2 ,"
"
https://wiki.supermetroid.run/images/b/b3/Waver.gif,Waver, 10/5/2 , 30 , 2 , 24 , 24 , 24 , 24 , 4 ,"
"
https://wiki.supermetroid.run/images/1/1d/Yapping_Maw.gif,Yapping Maw, 0 , 20 , 2 , 32 , 32 , 32 , 2 , 2 ,"
"
https://wiki.supermetroid.run/images/9/9d/Zeb.gif,Zeb, 6/3/1 , 9 , 2 , 24 , 24 , 24 , 24 , 4 ,"
"
https://wiki.supermetroid.run/images/1/18/Zebbo.gif,Zebbo, 20/10/5 , 30 , 0 , 0 , 56 , 4 , 40 , 2 ,"
"
