Enemy,Name,Damage (P/V/G),Health,Nothing,Small Energy,Big Energy,Missile,Super,Power Bomb,Notes,Location
https://wiki.supermetroid.run/images/5/5d/Beetom.gif,Beetom,10/5/2,50.0,0.0,0.4,0.0,0.0,0.0,101.6,Damages every 64 frames,Brinstar
https://wiki.supermetroid.run/images/0/09/Boulder.gif,Boulder,40/20/10,20.0,102.0,0.0,0.0,0.0,0.0,0.0,,Brinstar
https://wiki.supermetroid.run/images/6/61/Boyon.gif,Boyon,10/5/2,1000.0,52.0,8.0,4.0,34.0,2.0,2.0,,Brinstar
https://wiki.supermetroid.run/images/4/4a/Cacatac.gif,Cacatac,20/10/5,60.0,0.0,0.0,0.4,0.0,101.6,0.0,,Brinstar
https://wiki.supermetroid.run/images/5/57/Fireflea.gif,Fireflea,4/2/1,20.0,0.0,0.0,0.4,0.0,0.0,101.6,,Brinstar
https://wiki.supermetroid.run/images/b/b1/Geega.gif,Geega,10/5/2,10.0,2.0,24.0,24.0,24.0,24.0,4.0,,Brinstar
https://wiki.supermetroid.run/images/4/4d/Kihunter_%28green%29.gif,Kihunter,20/10/5,60.0,30.0,20.0,12.0,32.0,4.0,4.0,,Brinstar
https://wiki.supermetroid.run/images/5/5e/Metaree.gif,Metaree,50/25/12,50.0,24.0,32.0,10.0,32.0,2.0,2.0,,Brinstar
https://wiki.supermetroid.run/images/1/11/Mini-Kraid.gif,Mini-Kraid,100/50/25,400.0,0.0,0.0,0.4,0.0,101.6,0.0,,Brinstar
https://wiki.supermetroid.run/images/1/1f/Puyo.gif,Puyo,60/30/15,100.0,2.0,24.0,24.0,24.0,4.0,24.0,,Brinstar
https://wiki.supermetroid.run/images/9/90/Reo.gif,Reo,15/7/3,45.0,16.0,12.0,32.0,34.0,4.0,4.0,,Brinstar
https://wiki.supermetroid.run/images/c/cf/Ripper.gif,Ripper,5/2/1,200.0,26.0,32.0,8.0,32.0,2.0,2.0,,Brinstar
https://wiki.supermetroid.run/images/a/a2/Ripper_2_%28red%29.gif,Ripper 2,10/5/2,200.0,0.0,0.0,0.4,0.0,101.6,0.0,,Brinstar
https://wiki.supermetroid.run/images/7/73/Skree.gif,Skree,10/5/2,15.0,54.8,8.0,1.2,34.0,2.0,2.0,,Brinstar
https://wiki.supermetroid.run/images/b/b7/Skultera.gif,Skultera,80/40/20,300.0,28.0,32.0,12.0,28.0,2.0,0.0,,Brinstar
https://wiki.supermetroid.run/images/6/6c/Sidehopper.gif,Sidehopper,80/40/20,320.0,40.0,8.0,8.0,22.0,22.0,2.0,,Brinstar
https://wiki.supermetroid.run/images/3/3d/Small_Sidehopper.gif,Sm. Sidehopper,20/10/5,60.0,40.0,8.0,16.0,34.0,2.0,2.0,,Brinstar
https://wiki.supermetroid.run/images/7/73/Space_Pirate_%28green%29.gif,Space Pirate (standing),20/10/5,90.0,18.0,20.0,12.0,40.0,8.0,4.0,,Brinstar
https://wiki.supermetroid.run/images/b/b3/Waver.gif,Waver,10/5/2,30.0,2.0,24.0,24.0,24.0,24.0,4.0,,Brinstar
https://wiki.supermetroid.run/images/1/1d/Yapping_Maw.gif,Yapping Maw,0.0,20.0,2.0,32.0,32.0,32.0,2.0,2.0,,Brinstar
https://wiki.supermetroid.run/images/9/9d/Zeb.gif,Zeb,6/3/1,9.0,2.0,24.0,24.0,24.0,24.0,4.0,,Brinstar
https://wiki.supermetroid.run/images/1/18/Zebbo.gif,Zebbo,20/10/5,30.0,0.0,0.0,56.0,4.0,40.0,2.0,,Brinstar
https://wiki.supermetroid.run/images/b/b5/Zeela.gif,Zeela,10/5/2,30.0,0.0,22.0,10.0,50.0,20.0,0.0,,Brinstar
https://wiki.supermetroid.run/images/e/e4/Zero.gif,Zero,40/20/10,50.0,0.0,0.4,0.0,0.0,0.0,101.6,,Brinstar
