Enemy,Name,Damage (P/V/G),Health,Nothing,Small Energy,Big Energy,Missile,Super,Power Bomb,Notes,Location
https://wiki.supermetroid.run/images/6/63/Bull.gif,Bull,10/5/2,100.0,0.0,0.0,2.0,0.0,0.0,100.0,,Maridia
https://wiki.supermetroid.run/images/4/4a/Cacatac.gif,Cacatac,20/10/5,60.0,0.0,0.0,0.4,0.0,101.6,0.0,,Maridia
https://wiki.supermetroid.run/images/1/10/Choot.gif,Choot,80/40/20,100.0,2.0,24.0,24.0,24.0,24.0,4.0,,Maridia
https://wiki.supermetroid.run/images/4/47/Evir.gif,Evir,100/50/25,300.0,2.0,32.0,32.0,32.0,2.0,2.0,,Maridia
https://wiki.supermetroid.run/images/7/79/Tatori.gif,Kame (Tatori),200/100/50,20000.0,2.0,32.0,32.0,32.0,2.0,2.0,,Maridia
https://wiki.supermetroid.run/images/7/7c/Tatori_Baby.gif,Kame Baby,0.0,20000.0,2.0,32.0,32.0,32.0,2.0,2.0,,Maridia
https://wiki.supermetroid.run/images/8/8a/Menu.gif,Menu,60/30/15,100.0,32.0,28.0,8.0,32.0,2.0,0.0,,Maridia
https://wiki.supermetroid.run/images/6/6c/Mochtroid.gif,Mochtroid,90/45/22,100.0,2.0,24.0,24.0,24.0,24.0,4.0,"Damages every 80 frames, keeps track of contact",Maridia
https://wiki.supermetroid.run/images/9/92/Oum.gif,Oum,0.0,300.0,30.0,28.0,12.0,28.0,2.0,2.0,,Maridia
https://wiki.supermetroid.run/images/f/fc/Owtch.gif,Owtch,100/50/25,20.0,2.0,32.0,32.0,32.0,2.0,2.0,,Maridia
https://wiki.supermetroid.run/images/8/81/Powamp.gif,Powamp,100/50/25,10.0,0.0,0.4,0.0,0.0,101.6,0.0,,Maridia
https://wiki.supermetroid.run/images/1/1f/Puyo.gif,Puyo,60/30/15,100.0,2.0,24.0,24.0,24.0,4.0,24.0,,Maridia
https://wiki.supermetroid.run/images/c/c9/Sciser.gif,Sciser,120/60/30,200.0,0.0,0.4,40.0,0.0,0.0,61.6,,Maridia
https://wiki.supermetroid.run/images/1/13/Shaktool.gif,Shaktool,120/60/30,300.0,2.0,32.0,32.0,32.0,2.0,2.0,,Maridia
https://wiki.supermetroid.run/images/b/b7/Skultera.gif,Skultera,80/40/20,300.0,28.0,32.0,12.0,28.0,2.0,0.0,,Maridia
https://wiki.supermetroid.run/images/4/45/Space_Pirate_%28pink%29.gif,Space Pirate (standing),160/80/40,300.0,0.0,20.0,48.0,32.0,2.0,0.0,,Maridia
https://wiki.supermetroid.run/images/0/03/Space_Pirate_%28pink%29_%2Awall%2A.gif,Space Pirate (wall),160/80/40,300.0,28.0,12.0,28.0,32.0,2.0,0.0,,Maridia
https://wiki.supermetroid.run/images/2/2a/Yard.gif,Yard,100/50/25,10.0,32.0,34.0,32.0,0.0,0.0,4.0,,Maridia
https://wiki.supermetroid.run/images/1/18/Zebbo.gif,Zebbo,20/10/5,30.0,0.0,0.0,56.0,4.0,40.0,2.0,,Maridia
https://wiki.supermetroid.run/images/f/fa/Zoa.gif,Zoa,15/7/3,40.0,2.0,0.0,40.0,28.0,28.0,4.0,,Maridia
